[2025-05-14 14:29:43.401] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.400] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.399] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.398] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.397] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.396] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.395] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.394] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.394] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.393] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.392] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.391] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.390] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.389] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.388] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.387] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.386] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.385] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.384] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
[2025-05-14 14:29:43.383] DEBUG   (proxy.go:465)   X-Causation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.382] DEBUG   (proxy.go:465)   Vary: Origin
[2025-05-14 14:29:43.381] DEBUG   (proxy.go:465)   Access-Control-Expose-Headers: X-Correlation-Id
[2025-05-14 14:29:43.380] DEBUG   (proxy.go:465)   Access-Control-Allow-Origin: http://192.168.1.77:8100
[2025-05-14 14:29:43.379] DEBUG   (proxy.go:465)   Access-Control-Allow-Credentials: true
[2025-05-14 14:29:43.378] DEBUG   (proxy.go:465)   Alt-Svc: h3=":443"; ma=86400
[2025-05-14 14:29:43.377] DEBUG   (proxy.go:465)   Content-Encoding: gzip
[2025-05-14 14:29:43.376] DEBUG   (proxy.go:465)   X-Organization: koho
[2025-05-14 14:29:43.374] DEBUG   (proxy.go:465)   Content-Type: application/json; charset=UTF-8
[2025-05-14 14:29:43.374] DEBUG   (proxy.go:465)   Date: Wed, 14 May 2025 18:29:43 GMT
[2025-05-14 14:29:43.373] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.372] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.371] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.370] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.368] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.367] DEBUG   (proxy.go:462) Headers received from server:
[2025-05-14 14:29:43.366] DEBUG   (proxy.go:465)   X-Content-Type-Options: nosniff
[2025-05-14 14:29:43.365] DEBUG   (proxy.go:465)   X-Correlation-Id: a8f700b3-0a49-46ef-b426-47c7b522dc41
[2025-05-14 14:29:43.364] DEBUG   (proxy.go:465)   Cf-Ray: 93fc766c2cd8a20e-YYZ
[2025-05-14 14:29:43.363] DEBUG   (proxy.go:465)   Cf-Cache-Status: DYNAMIC
[2025-05-14 14:29:43.362] DEBUG   (proxy.go:465)   Server: cloudflare
[2025-05-14 14:29:43.361] DEBUG   (proxy.go:465)   Strict-Transport-Security: max-age=15552000; includeSubDomains; preload
